geom;stop_id;stop_code;stop_name;stop_lat;stop_lon;location_type;parent_station;wheelchair_boarding
"POINT (1.4605112727421 43.5386624143594)";stop_area:SA_1;;Montjoie;"43.5386624143594";"1.4605112727420955";"1";;"1"
"POINT (1.40407564766821 43.5674873499548)";stop_area:SA_10;;Le Lac Reynerie;"43.56748734995478";"1.4040756476682126";"1";;"1"
"POINT (1.53142797933189 43.6437094714103)";stop_area:SA_100;;Borde Haute;"43.64370947141033";"1.5314279793318943";"1";;"1"
"POINT (1.37417332997215 43.580869083701)";stop_area:SA_1000;;Phidias;"43.580869083701046";"1.374173329972152";"1";;"1"
"POINT (1.42818478851716 43.6063151656983)";stop_area:SA_1002;;Amidonniers;"43.60631516569829";"1.4281847885171595";"1";;"1"
"POINT (1.53423130511658 43.586655062928)";stop_area:SA_1004;;Lauragais;"43.586655062927974";"1.53423130511658";"1";;"1"
"POINT (1.39540425419119 43.5439761654611)";stop_area:SA_1007;;Mayer;"43.54397616546114";"1.3954042541911866";"1";;"1"
"POINT (1.37817969456673 43.5555597259176)";stop_area:SA_1008;;Françoise Dolto;"43.55555972591757";"1.3781796945667264";"1";;"2"
"POINT (1.33090882080158 43.640006650718)";stop_area:SA_1009;;Secteur A;"43.640006650717964";"1.3309088208015807";"1";;"2"
"POINT (1.36922814736394 43.5247043708193)";stop_area:SA_1010;;Cimetière Villeneuve;"43.52470437081928";"1.3692281473639352";"1";;"1"
"POINT (1.39955569443837 43.566333238746)";stop_area:SA_1011;;Bellefontaine;"43.56633323874598";"1.3995556944383656";"1";;"1"
"POINT (1.31044034286839 43.6165978916435)";stop_area:SA_1012;;Monturon;"43.616597891643465";"1.3104403428683926";"1";;"1"
"POINT (1.53300835034613 43.6277910716441)";stop_area:SA_1013;;Pin Balma Mairie;"43.62779107164408";"1.5330083503461294";"1";;"2"
"POINT (1.42118035247472 43.6818662773071)";stop_area:SA_1016;;Mariel;"43.68186627730712";"1.4211803524747155";"1";;"1"
"POINT (1.5560432126971 43.5139424119135)";stop_area:SA_1018;;Borde Haute;"43.513942411913526";"1.5560432126970978";"1";;"1"
"POINT (1.40823537022071 43.606623889787)";stop_area:SA_1019;;Foyer Toulousain;"43.60662388978702";"1.4082353702207118";"1";;"1"
"POINT (1.35510261344954 43.6067359977688)";stop_area:SA_102;;Caulet;"43.606735997768766";"1.3551026134495376";"1";;"1"
"POINT (1.38769804165033 43.5145397118569)";stop_area:SA_1020;;Portet H. Boucher;"43.51453971185695";"1.3876980416503273";"1";;"1"
"POINT (1.56636468995898 43.5416222902765)";stop_area:SA_1021;;Mairie Auzielle;"43.54162229027654";"1.5663646899589834";"1";;"2"
"POINT (1.47083415860405 43.534979696384)";stop_area:SA_1022;;Château de Soule;"43.53497969638396";"1.4708341586040523";"1";;"1"
"POINT (1.48582084284446 43.6836952901948)";stop_area:SA_1024;;Saint-Geniès;"43.68369529019479";"1.4858208428444588";"1";;"1"
"POINT (1.47130516460968 43.6007984974819)";stop_area:SA_1025;;Deltour;"43.60079849748189";"1.471305164609675";"1";;"1"
"POINT (1.32980302025929 43.4701269064273)";stop_area:SA_1028;;Vincent Auriol;"43.470126906427275";"1.3298030202592896";"1";;"1"
"POINT (1.53207767228307 43.5545768701287)";stop_area:SA_1029;;Poste de Saint-Orens;"43.55457687012866";"1.5320776722830698";"1";;"1"
"POINT (1.4723561785866 43.5479198540801)";stop_area:SA_103;;Poste de Ramonville;"43.54791985408014";"1.4723561785865993";"1";;"1"
"POINT (1.39326896599486 43.6080511678605)";stop_area:SA_1030;;Centre Commercial Purpan Sud;"43.60805116786052";"1.3932689659948596";"1";;"1"
"POINT (1.35930457862338 43.6057800649671)";stop_area:SA_1031;;Max Fischl;"43.60578006496714";"1.3593045786233784";"1";;"1"
"POINT (1.31217666968836 43.6589761832201)";stop_area:SA_1032;;Clinique des Cèdres;"43.658976183220084";"1.3121766696883637";"1";;"1"
"POINT (1.44410641214765 43.6004101708331)";stop_area:SA_1033;;Esquirol;"43.60041017083305";"1.4441064121476506";"1";;"1"
"POINT (1.38727518267672 43.5855533615515)";stop_area:SA_1034;;Molette;"43.585553361551476";"1.3872751826767218";"1";;"1"
"POINT (1.54529393036017 43.6279387900814)";stop_area:SA_1035;;Rossignol;"43.62793879008138";"1.5452939303601747";"1";;"1"
"POINT (1.32070740868472 43.4824905985679)";stop_area:SA_1036;;Centre de Détention;"43.48249059856795";"1.3207074086847157";"1";;"1"
"POINT (1.38655826231188 43.5813777615146)";stop_area:SA_1037;;Bordeblanche;"43.58137776151459";"1.3865582623118784";"1";;"1"
"POINT (1.49391485191879 43.5736215436448)";stop_area:SA_1038;;Marcel Dassault;"43.5736215436448";"1.493914851918786";"1";;"1"
"POINT (1.38076613007828 43.5302548186844)";stop_area:SA_1039;;ZI Bois Vert N°2;"43.53025481868444";"1.3807661300782847";"1";;"1"
"POINT (1.4588030785244 43.5424468968789)";stop_area:SA_1040;;Aéropostale;"43.54244689687895";"1.4588030785244046";"1";;"1"
"POINT (1.41214474121716 43.5886938011233)";stop_area:SA_1041;;Corneille;"43.588693801123306";"1.412144741217161";"1";;"1"
"POINT (1.37892315005918 43.5511715063918)";stop_area:SA_1042;;Canto Laouzetto;"43.55117150639176";"1.3789231500591836";"1";;"1"
"POINT (1.35449222276689 43.5234648881648)";stop_area:SA_1043;;Rossignolis;"43.52346488816484";"1.3544922227668896";"1";;"1"
"POINT (1.39069653924593 43.5863446849299)";stop_area:SA_1044;;Châtaigniers;"43.586344684929905";"1.3906965392459338";"1";;"1"
"POINT (1.44948113195569 43.5802751291597)";stop_area:SA_1045;;Saint Agne-SNCF;"43.58027512915966";"1.4494811319556944";"1";;"1"
"POINT (1.35913596073875 43.5334631760254)";stop_area:SA_1046;;Goubard;"43.53346317602544";"1.3591359607387499";"1";;"1"
"POINT (1.52067120731503 43.5681698345626)";stop_area:SA_1047;;Gymnase;"43.568169834562624";"1.5206712073150266";"1";;"1"
"POINT (1.40409401430854 43.5600069927213)";stop_area:SA_1051;;Rimont;"43.56000699272132";"1.4040940143085416";"1";;"1"
"POINT (1.53398361410671 43.5831226290129)";stop_area:SA_1052;;Monplaisir;"43.58312262901294";"1.5339836141067056";"1";;"1"
"POINT (1.50777559287291 43.5002647069328)";stop_area:SA_1053;;Eglise Pechabou;"43.50026470693278";"1.5077755928729113";"1";;"1"
"POINT (1.40979015251732 43.5401282764917)";stop_area:SA_1055;;Claire Fontaine;"43.540128276491686";"1.409790152517316";"1";;"1"
